label,text
ham,Here is your login OTP - 5556. Valid for 10 minutes
ham,You have succesfully registered for the event. Please keep this secret pass code safe
spam,Free entry in for a weekly competition to win FA Cup final tickets 21st May 2005. Text FA to 87121 to receive entry question (std text rate) T&C's apply 08452810075 over 18's
ham,Going for dinner. Will message you after.
ham,Sounds great! Are you home now?
spam,Congratulations you are awarded 500 of CD vouchers or 125 gift guaranteed & Free entry to 100 weekly draw text MUSIC to 87066 TnCs
ham,Even my brother don't like to speak with me. They treat me like aids patent.
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
spam,Had your mobile 11 months or more? You are entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,"To use your credit, click the WAP link in the next text message or click here >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh ok...i'm watching here :) Hope you enjoy the movie
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Is that seriously how you spell his name?
ham,After i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,Lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
ham,K tell me anything about you.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,Yup... Ok i go home look at the timings then i msg again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"Oops, I'll let you know when my roommate's done"
ham,I see the letter B on my car
ham,Anything lor... U decide...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,07732584351 - Rodger Burns - MSG = We tried to call you send your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
